Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
FY1,FY1 in Psychiatry (Ref: NHS-024-00351),Business Services Organisation NI (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-01 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/50746189/
FY2,FY2 in Obstetrics & Gynaecology (Ref: NHS-024-00352),Leeds Teaching Hospitals NHS Trust (England),"£82,000 to £110,000 (Dental Consultant)",England,2026-06-07 18:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/47014412/
CT,Core Trainee CT1 in Medicine (Ref: NHS-024-00353),NHS Tayside (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/63233340/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-024-00354),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/82084407/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-024-00355),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/19205287/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-024-00356),Liverpool University Hospitals FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-05 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/52075227/
Specialist,Specialist Grade in Ophthalmology (Ref: NHS-024-00357),NHS Ayrshire & Arran (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/81553907/
GP,Locum Salaried GP (Ref: NHS-024-00358),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/56959401/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-024-00359),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/78293434/
JCF,Junior Clinical Fellow in General Medicine (Ref: NHS-025-00360),Great Ormond Street Hospital (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/52570187/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-025-00361),NHS Western Isles (Scotland),"£45,000 to £65,000 (GP Salaried)",Scotland,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/68476377/
Teaching,Simulation Teaching Fellow (Ref: NHS-025-00362),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/83162976/
TrustGrade,Trust Grade Doctor in Medicine (Ref: NHS-025-00363),Southern Health & Social Care Trust (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/42203657/
LAS,LAS ST2 in Orthopaedics (Ref: NHS-025-00364),Wrightington Wigan & Leigh NHS FT (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/98894082/
Locum,Locum GP Sessional (Ref: NHS-025-00365),NHS Lothian (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/65446113/
FY1,FY1 in General Practice (Ref: NHS-025-00366),Powys Teaching Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/64637765/
FY2,FY2 in Obstetrics & Gynaecology (Ref: NHS-025-00367),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/51028762/
CT,Core Trainee CT2 in Pathology (Ref: NHS-025-00368),Countess of Chester Hospital NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-06 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/54718943/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-025-00369),NHS Fife (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-05 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/52061546/
ST_Senior,ST5 in Respiratory Medicine (Ref: NHS-025-00370),Betsi Cadwaladr University Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/26664009/
SAS,Specialty Doctor in Anaesthetics (Ref: NHS-025-00371),Southern Health & Social Care Trust (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-05 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/57389803/
Specialist,Specialist Grade in Ophthalmology (Ref: NHS-025-00372),Royal Liverpool & Broadgreen NHS Trust (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/69161055/
GP,GP Retainer Scheme (Ref: NHS-025-00373),NHS Borders (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-03 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/91654825/
Dental,Dental Core Trainee DCT2 (Ref: NHS-025-00374),Powys Teaching Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/75689479/
JCF,Junior Clinical Fellow in General Medicine (Ref: NHS-026-00375),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/86460736/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-026-00376),Liverpool Heart & Chest Hospital NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-07 12:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/42327958/
Teaching,Postgraduate Teaching Fellow (Ref: NHS-026-00377),NHS Shetland (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/98469592/
TrustGrade,Trust Grade Doctor in Medicine (Ref: NHS-026-00378),Betsi Cadwaladr University Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-03 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/60744860/
LAS,LAS ST1 in General Surgery (Ref: NHS-026-00379),Southern Health & Social Care Trust (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/32208876/
Locum,Locum GP Sessional (Ref: NHS-026-00380),Manchester University NHS FT - Royal Infirmary (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/64259001/
FY1,FY1 in Surgery (Ref: NHS-026-00381),NHS Tayside (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/71613207/
FY2,Foundation Year 2 Doctor - Rotational (Ref: NHS-026-00382),Powys Teaching Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-06 14:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/59133182/
CT,Core Trainee CT2 in Pathology (Ref: NHS-026-00383),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/58678447/
ST_Junior,ST2 in Orthopaedic Surgery (Ref: NHS-026-00384),Bolton NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/98567288/
ST_Senior,ST3 in Cardiology (Ref: NHS-026-00385),NHS Ayrshire & Arran (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-07 12:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/49497667/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-026-00386),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-07 12:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/25934126/
Specialist,Specialist Grade in ENT (Ref: NHS-026-00387),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/24925141/
GP,GP with Special Interest (Ref: NHS-026-00388),Greater Manchester Mental Health NHS FT (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-07 12:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/59502376/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-026-00389),NHS Western Isles (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-07 12:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/89186176/
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-027-00390),Powys Teaching Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/64304422/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-027-00391),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-05 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/80916317/
Teaching,Postgraduate Teaching Fellow (Ref: NHS-027-00392),Manchester University NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-06 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/66236429/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-027-00393),NHS Lothian (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-07 12:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/94802187/
LAS,LAS ST1 in General Surgery (Ref: NHS-027-00394),Betsi Cadwaladr University Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/81876268/
Locum,Locum GP Sessional (Ref: NHS-027-00395),Southern Health & Social Care Trust (Northern Ireland),"£52,530 to £78,274 (SAS/Specialist level)",Northern Ireland,2026-06-01 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/76824297/
FY1,FY1 in Acute Medicine (Ref: NHS-027-00396),University College London Hospitals FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/57818838/
FY2,FY2 in Anaesthetics (Ref: NHS-027-00397),NHS Fife (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-05 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/28171431/
CT,Core Trainee CT3 in Anaesthetics (Ref: NHS-027-00398),Powys Teaching Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/32803905/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-027-00399),Business Services Organisation NI (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-03 14:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/24944700/
ST_Senior,ST5 in Respiratory Medicine (Ref: NHS-027-00400),Sheffield Teaching Hospitals FT (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-07 18:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/66651673/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-027-00401),NHS Borders (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-03 14:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/74134559/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-027-00402),Betsi Cadwaladr University Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/93950548/
GP,GP Retainer Scheme (Ref: NHS-027-00403),Southern Health & Social Care Trust (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/41795549/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-027-00404),Newcastle upon Tyne Hospitals FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-07 12:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/11616615/
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-028-00405),NHS Shetland (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-06 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/18830384/
SCF,Senior Clinical Fellow in Gastroenterology (Ref: NHS-028-00406),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-05 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/32058294/
Teaching,Postgraduate Teaching Fellow (Ref: NHS-028-00407),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-01 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/33538054/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-028-00408),Royal Brompton & Harefield NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-05 14:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/24639177/
